participant_id,condition,item,question,text
69e682966f693cecc39ac613,ai,21.4,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I used AI to interpret the tasks quickly and then double checked the answers to what AI had said, if I was unsure then I had AI to double check the answers to ensure it was true"
69e682966f693cecc39ac613,ai,21.5,"How, if at all, did the multiple alternatives reply changed the way you interacted with the AI?",I made sure to double check the answers with AI to ensure this was correct
659585d0d682df995ad2c5b5,ai,21.4,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",Initially I tried to work things out partially on my own first but the task would have taken me too long. Then I tried to check AI's logic by getting it (for example) to show me possible timetables. I did notice one mistake it had made which made me worry that some of the other legwork it had done might also be wrong. In the end I was too short of time to not trust it
659585d0d682df995ad2c5b5,ai,21.5,"How, if at all, did the multiple alternatives reply changed the way you interacted with the AI?",Yes I realised I needed to re-frame questions
6a04d6f7d3e6d5170c2f1584,ai,21.4,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",The scenarios were very complicated. I did use paper or write anything down. If I had been able to I believe I could have scored better.
6a04d6f7d3e6d5170c2f1584,ai,21.5,"How, if at all, did the multiple alternatives reply changed the way you interacted with the AI?",None at all.
67894c4106e9380ced60256e,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I tended to copt and paste into the AI while I read over the scenario and question myself. I then double checked the AIs answers to see if there was any issues with them. I didn't find any so I went with what the AI said. From what i could tell the AI made sense every time.
67894c4106e9380ced60256e,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",NA
69fd9d6f7d9cd6c042e8a1cc,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I didn't really use any strategies, I just copied all of the available information into the AI and asked it to solve the problems for me"
6a2012eff90f7af67fdfb112,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","First few I would decide my answer before reading the prompt of the AI and because they would match, I would then generally check the AIs prompts first then double check them if I had doubts."
6a1c0a74391cb03e607159f3,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I checked over the AI's thinking
676ada80fe4f612146e3c8b3,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",i read through the questions and see if i could answer some well enough and went with the ai's answers that goes with mine
5a9c41f2dbdb470001eeef9c,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I felt quite overwhelmed by all the details in combination with the time limit - plus a false start from trying to access the study on Chrome. So I took a quick overview of the scenarios and then mostly just relied on the AI's input. On one question, about drink tokens, I overruled the AI as I thought half tokens wouldn't be issued - but I could be wrong!"
5ca9106716aa84001725d880,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I didn't really check through if they looked ok I went with them as it was what I would normally do
5ca9106716aa84001725d880,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",none
69e798083733072e5376734b,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I read the questions and then the scenerio so I had a rough idea of what the answer could be but I was not sure so I took AI's help and completed my task.
5ea824f580b9ef228f589930,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I asked the AI to re-explain and explain some parts in a way that was easier for me to understand until it was explaing it in a more simplistic way that I could understand better.
673f6ffebce20832346325de,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I relied heavily on the AI but tried to double check the answers on my own. If I was not sure on my own I completely relied on the AI providing the correct answers.
5ff454f2f0b5ed607169fba6,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I read the text the first time and check it the second time with the AI answer.
6a00e5e9deafdfa23003cacb,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I double checked some of the answers by the AI against the scenario to ensure it hadn't missed terms that might impede interpretation by the model
6a00e5e9deafdfa23003cacb,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",Nonw
69ffa808e93cf482f4829587,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I used the AI response mostly and rely on my own knowledge of the task too
69ffa808e93cf482f4829587,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",NA
6a05ca3ca97a0b5ea50dd24c,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","i just pasted in the given scenario and then pasted in the question to get the answer however in the future i would definitely double check the answers, as I have never thought of doing that before"
5f319edf7543f7087932aa98,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",own judgement
5f319edf7543f7087932aa98,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",none
6a04411878c03cd53d01bc3d,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",Just relied on the AI
5f6f3b4884cdf34934e9db6f,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",Cutting and pasting information into the AI system
6710a58eeff954cb2243950e,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","Process of elimination, reasoning and deducing conclusions from the scenarios"
6710a58eeff954cb2243950e,ai,21.3,"If you have any further comments about your interaction with the AI, please share them here.",No comment
6a1589d7aa43b48061cf738a,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","I relied on the AI, there was a lot of thinking and working out required"
6a21b8ae2177f79a3833a3aa,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",i relied on the AI
59b19a277f6c84000151c001,ai,21.2,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?",I asked the questions of the AI and then returned to the scene to try and check whether what the AI was telling me was correct by checking the answers and reasons given with the information in the scenerio
