condition,pid,task_id,question,verdict,mode,answer,answer_correct,correct_option,n_assistant_msgs,parsed,followed,ai_correct,correct,difficulty_z
ai,69e682966f693cecc39ac613,6,ypc_02,B,full,B,False,D,3,True,1,0,0,-0.8072278083534364
ai,69e682966f693cecc39ac613,7,ypc_03,B,full,A,False,B,2,True,0,1,0,0.847792019828484
ai,69e682966f693cecc39ac613,8,ypc_05,D,full,D,False,A,3,True,1,0,0,0.3366829552428909
ai,69e682966f693cecc39ac613,9,ypc_06,C,full,C,False,A,1,True,1,0,0,1.2128699231039075
ai,69e682966f693cecc39ac613,10,car_racing_01,D,full,D,True,D,2,True,1,1,1,-1.7807688837545659
ai,69e682966f693cecc39ac613,11,car_racing_02,B,full,B,False,C,3,True,1,0,0,1.1885313962188795
ai,69e682966f693cecc39ac613,12,car_racing_03,D,full,D,False,B,2,True,1,0,0,-0.49082695884806904
ai,69e682966f693cecc39ac613,13,car_racing_05,A,full,A,True,A,3,True,1,1,1,0.5313911703231169
ai,69e682966f693cecc39ac613,14,graduation_party_01,B,full,B,True,B,2,True,1,1,1,-1.5130450880192552
ai,69e682966f693cecc39ac613,15,graduation_party_05,D,full,D,False,A,3,True,1,0,0,0.14197474016266495
ai,69e682966f693cecc39ac613,16,graduation_party_06,B,full,B,False,D,2,True,1,0,0,-0.3691343244229278
ai,69e682966f693cecc39ac613,17,graduation_party_07,D,full,D,False,B,2,True,1,0,0,0.7017608585183145
ai,659585d0d682df995ad2c5b5,7,ypc_03,B,full,B,True,B,3,True,1,1,1,0.847792019828484
ai,659585d0d682df995ad2c5b5,8,ypc_05,D,full,D,False,A,1,True,1,0,0,0.3366829552428909
ai,659585d0d682df995ad2c5b5,9,ypc_06,D,full,B,False,A,8,True,0,0,0,1.2128699231039075
ai,659585d0d682df995ad2c5b5,10,car_racing_01,D,full,D,True,D,1,True,1,1,1,-1.7807688837545659
ai,659585d0d682df995ad2c5b5,11,car_racing_02,B,full,B,False,C,1,True,1,0,0,1.1885313962188795
ai,659585d0d682df995ad2c5b5,13,car_racing_05,B,full,B,False,A,1,True,1,0,0,0.5313911703231169
ai,659585d0d682df995ad2c5b5,14,graduation_party_01,B,full,B,True,B,1,True,1,1,1,-1.5130450880192552
ai,659585d0d682df995ad2c5b5,15,graduation_party_05,A,full,A,True,A,1,True,1,1,1,0.14197474016266495
ai,659585d0d682df995ad2c5b5,16,graduation_party_06,D,full,D,True,D,1,True,1,1,1,-0.3691343244229278
ai,659585d0d682df995ad2c5b5,17,graduation_party_07,A,full,A,False,B,2,True,1,0,0,0.7017608585183145
ai,6a04d6f7d3e6d5170c2f1584,6,ypc_02,D,full,D,True,D,2,True,1,1,1,-0.8072278083534364
ai,6a04d6f7d3e6d5170c2f1584,7,ypc_03,A,full,A,False,B,1,True,1,0,0,0.847792019828484
